Stewart;Marsh;Stew;36203211234;36207652859;1111;32784
Florence;Galvan;Flo;36307651234;36707652859;3456;3244
Ramiro;Wyatt;Rami;36207657264;36206135674;3333;23445
Rodrigo;Buchanan;Rodrigo;36303211234;36206132859;4444;2366
Clint;Hicks;Clint;36709827264;36706135674;4598;3246
Chuck;Woods;Chuuck;36307657264;36207655674;6666;32423
Lon;Collins;Lon;36209821234;36206139822;8462;4356
Alisha;Lowery;Ali;36703217264;36706132859;3456;35436
Bonita;Warren;Bon;36209821234;36207659822;6754;3456
Brian;Blake;Brian;36709827264;36707652859;1223;26742
Sheldon;Foley;Sheldon;36307659876;36706139822;4342;2355
Nikki;Terry;Niki;36203217264;36707652859;5432;23467
Stacey;Patton;Stace;36709821234;36206135674;4256;2345
Terrence;Callahan;Terry;36309827264;36706132859;3676;2455
Lula;Bullock;Lula;36207651234;36206139822;3445;24677
Becky;Ray;Becky;36303217264;367076528595674;2143;3256
Avery;Mora;Avery;36209827264;36207659822;7654;2345
Carmine;Houston;Carmine;36709821234;36706135674;2345;23567
Greta;Ferguson;Gret;36207657264;36707652859;3256;32566
Courtney;Miller;Court;36303211234;36206139822;1234;2366
